Y	T	S	Sum_S
1	1	1	1
2	0	0	1
3	0	0	1
4	0	0	1
5	0	0	1
6	0	0	1
7	0	0	1
8	0	0	1
9	0	0	1
10	0	0	1
11	0	0	1
12	0	0	1
13	1	1	2
14	15	15	17
15	4	4	21
16	4	4	25
17	0	0	25
18	4	4	29
19	0	0	29
20	3	3	32
21	4	4	36
22	12	12	48
23	17	17	65
24	14	14	79
25	6	6	85
26	73	73	158
27	187	187	345
28	284	284	629
29	200	200	829
30	262	262	1091
31	122	122	1213
32	199	199	1412
33	82	82	1494
34	110	110	1604
35	168	168	1772
36	267	267	2039
37	84	84	2123
38	94	94	2217
39	56	56	2273
40	55	55	2328
41	123	123	2451
42	46	46	2497
43	189	189	2686
44	188	188	2874
45	152	152	3026
46	182	182	3208
47	213	213	3421
48	265	265	3686
49	457	457	4143
50	173	173	4316
51	188	188	4504
52	168	168	4672
